content,cleaned_content,sentiment
Very efficient,efficient,positive
Good,good,positive
Excellent,excellent,positive
Good service,good service,positive
Play games and get money and save them Wish I'd tried PayPal asking time ago! Easier than Chime,play games get money save wish tried paypal asking time ago easier chime,positive
Good,good,positive
Makes paying bills so much easier!!!!!,makes paying bills much easier,positive
"Literally won't let me close my account. Support keeps trying to argue with me that they won't do what their revised privacy policy says they can do, then the app locked me out so I can't continue the support conversation. Something tells me they still have all my info saved",literally let close account support keeps trying argue revised privacy policy says app locked continue support conversation something tells still info saved,positive
Super easy and good. Sending money to Argentina with no fee!! Superb!,super easy good sending money argentina fee superb,positive
Best money cash,best money cash,positive
Watch your money....,watch money,neutral
Easy to use - highly rate,easy use highly rate,positive
"I'm using it for the last time. I'll just change all my stuff like Amazon and Spotify to other methods. I had to open a case against a company for a refund they didn't want to give me after I returned the item I bought due to being different than description. PayPal didn't help at all, took long to answer and charged me with 3€ work fee. ( For a job they didn't do)",using last time change stuff like amazon spotify methods open case company refund want give returned item bought due different description paypal help took long answer charged work fee job,positive
